Started,AcresBurned,Longitude,Type,Latitude,ExtinguishedDate
2020-09-08T13:03:25Z,,-120.394,Wildfire,38.99,2020-11-09T17:48:00Z
2020-09-09T08:04:43Z,1311.0,-121.32361,Wildfire,39.3637,2020-09-14T17:35:00Z
2020-09-08T22:27:00Z,45.0,-121.18018,Wildfire,37.46377,2020-09-09T07:27:00Z
2020-09-09T15:59:31Z,45.0,-122.84057,Wildfire,41.68229,2020-09-17T19:56:00Z
2020-09-11T10:05:44Z,50.0,-123.021635,Wildfire,41.575549,2020-09-21T19:57:00Z
2020-09-12T13:57:57Z,1185.0,-119.027309,Wildfire,37.135474,2020-11-09T14:06:00Z
2020-09-16T11:08:31Z,2188.0,-122.847359,Wildfire,41.211022,2020-09-30T08:31:00Z
2020-09-16T16:00:33Z,111.0,-120.491594,Wildfire,34.773809,2020-09-18T08:00:00Z
2020-09-17T16:11:01Z,6254.0,-116.68386,Wildfire,33.88831,
2020-09-27T08:48:00Z,67484.0,-122.49745,Wildfire,38.56295,2020-10-20T11:00:00Z
2020-09-27T16:03:27Z,56338.0,-122.56656,Wildfire,40.53927,2020-10-13T17:02:00Z
2020-09-28T17:08:09Z,230.0,-118.4,Wildfire,34.563,2020-09-30T08:36:00Z
2020-09-29T13:32:00Z,454.0,-117.374419,Wildfire,33.764357,2020-09-30T19:12:00Z
2020-09-30T13:09:00Z,48.0,-121.003602,Wildfire,38.49375,2020-10-03T07:08:00Z
2020-10-03T15:38:00Z,20.0,-121.039236,Wildfire,38.464074,2020-10-04T07:22:00Z
2020-10-04T12:46:20Z,21.0,-121.006635,Wildfire,38.424016,2020-10-06T19:04:00Z
2020-10-07T06:06:33Z,56.0,-121.450982,Wildfire,39.181047,2020-10-07T08:34:00Z
2020-10-11T18:04:00Z,30.0,-122.104314,Wildfire,37.821737,2020-10-12T00:00:00Z
2020-10-13T14:31:29Z,21.0,-120.64541,Wildfire,37.98337,2020-10-15T09:00:00Z
2020-10-15T05:40:14Z,170.0,-117.138078,Wildfire,34.014728,2020-10-16T13:33:00Z
2020-10-18T20:42:24Z,15.0,-120.964726,Wildfire,38.659387,2020-10-21T17:16:00Z
2020-10-22T14:43:49Z,6.0,-121.54475,Wildfire,39.51694,2020-10-22T17:12:00Z
2020-10-23T13:52:08Z,102.0,-123.88658,Wildfire,40.55823,
2020-10-23T17:25:43Z,61.0,-122.37828,Wildfire,38.56184,2020-10-25T19:10:00Z
2020-10-25T09:56:31Z,275.0,-122.39033,Wildfire,40.38869,
2020-10-25T12:54:39Z,133.0,-122.18102,Wildfire,40.47646,
2020-10-25T14:22:27Z,5.0,-122.342,Wildfire,40.41486,2020-10-25T07:07:00Z
2020-10-26T07:54:50Z,12466.0,-117.65719,Wildfire,33.73614,2020-11-07T07:07:00Z
2020-10-26T08:21:48Z,,-120.488892,Wildfire,39.009454,2020-11-09T17:51:00Z
2020-10-26T14:32:41Z,13964.0,-117.675067,Wildfire,33.877257,2020-11-07T07:06:00Z
2020-11-01T17:05:47Z,150.0,-117.51476,Wildfire,34.03343,
2020-11-06T07:28:52Z,131.0,-117.778561,Wildfire,34.146195,2020-11-07T14:43:00Z
2020-11-17T12:47:00Z,49.0,-120.87054,Wildfire,41.4435,2020-11-17T19:05:14Z
2020-12-01T17:27:18Z,1087.0,-117.62109,Wildfire,33.893351,2020-12-12T07:26:17Z
2020-12-03T02:06:22Z,200.0,-117.051463,Wildfire,33.773754,
2020-12-02T22:14:00Z,6686.0,-117.674967,Wildfire,33.743842,2020-12-10T18:59:25Z
2020-12-02T09:00:51Z,,-116.9075,,32.75277778,2020-12-03T18:35:02Z
2020-12-03T13:32:00Z,24.0,-120.374514,Wildfire,41.591948,2020-12-03T17:40:29Z
2020-12-07T11:44:00Z,174.0,-119.078,,34.33622,2020-12-08T11:17:54Z
2020-12-13T08:00:00Z,1954.0,-117.03459,Wildfire,33.93244,2020-12-14T17:50:00Z
2020-12-26T13:48:14Z,,-117.31544,Wildfire,34.52927,2020-12-28T10:47:57Z
2021-01-14T16:00:00Z,250.0,-118.83967,Wildfire,34.20955,2021-01-15T13:45:05Z
2021-01-19T12:08:00Z,23.0,-119.51982,Wildfire,37.25086,
2021-01-19T06:48:00Z,20.0,-122.10509,Wildfire,37.08931,
2021-01-18T21:00:00Z,15.0,-122.28823,Wildfire,37.18259,
2021-01-18T21:00:00Z,22.0,-122.1756,,37.17749,
2021-01-19T11:47:00Z,865.0,-119.185309,Wildfire,34.99432,2021-01-20T07:12:18Z
2021-01-19T14:48:24Z,43.0,-116.10723,Wildfire,33.52871,2021-01-20T13:46:53Z
2021-01-19T15:04:08Z,184.0,-118.5553174,,34.3585229,2021-01-22T18:12:36Z
2021-01-19T15:25:39Z,20.0,-122.13372,Wildfire,37.18381,2021-01-22T18:02:12Z
2021-01-19T19:13:18Z,37.0,-121.83627,Wildfire,36.98767,2021-01-22T18:09:27Z
2021-03-14T18:35:00Z,86.0,-117.5910734433329,Wildfire,35.5819816117628,2021-03-20T09:54:54Z
2021-03-27T17:02:04Z,873.0,-121.627082,Fire,41.927772,2021-03-29T17:21:30Z
2021-03-28T14:43:24Z,23.0,-120.131236,Fire,37.813464,
2021-04-01T15:56:00Z,35.0,-122.0536419,Wildfire,40.6758842,2021-04-01T21:19:17Z
2021-04-04T15:52:00Z,25.0,-118.70009500551254,Fire,34.30277328465364,2021-04-05T17:24:38Z
2021-04-12T18:44:23Z,28.0,-116.582369,Wildfire,32.958961,2021-04-13T18:00:00Z
2021-04-18T17:46:54Z,200.0,-123.35838,Wildfire,38.99914,2021-04-24T19:04:15Z
2021-04-19T20:29:35Z,80.0,-121.5896697,Wildfire,38.9743823,2021-05-01T09:35:18Z
2021-04-23T00:34:19Z,50.0,-1191414610.0,Wildfire,34.9471195,
2021-04-24T14:50:00Z,93.0,-121.143154,Fire,37.0953436,2021-04-24T19:01:18Z
2021-04-28T23:04:57Z,650.0,-118.616276,Wildfire,34.449686,2021-05-03T09:57:29Z
2021-04-29T12:44:00Z,65.0,-122.51771555326388,Wildfire,38.88437128468346,2021-05-01T17:32:27Z
2021-04-29T23:18:41Z,160.0,-120.856628,Wildfire,38.223179,
2021-05-01T21:02:48Z,32.0,-121.034998,Wildfire,38.773294,
